,prompt,clip_inter
110,"mysterious detailed cgi matte painting of a tessa thompson the space empress of the andromeda, by ellen jewett, alessio albi | symmetrical features, photorealism, stunning, ornate, royally decorated, organic, growth, whirling gasses, glowing particles, refractive adornments, colorful torn nebulas, radiant vibrant colors ","['a woman in a white dress holding a purple flower', ' greg beeple', ' artgerm julie bell beeple', ' tom bagshaw weta studio', ' a stunning young ethereal figure', ' yuri shwedoff and tom bagshaw', ' wlop. scifi', ' cyborg goddess in cosmos', ' beeple and jeremiah ketner', ' tom bagshaw artstyle', ' epic fantasy sci fi illustration']"
111,"hyperrealism, night background, super zoom, goddess close - up portrait real human skeleton ram skull jellyfish!! phoenix crow wings! giant orchid!! artwork by tooth wu and wlop. octane render, trending on artstation, greg rutkowski cinematic, hyper realism, high detail, octane render, 8 k ","['a skeleton and a jellyfish with glowing eyes', ' intricate artwork. octane render', ' horrific digital art', ' fantasy skull', ' metal skull with red eyes', ' 3 d rendered in octane', ' 3d rendered in octane', ' cycles4d render', ' fiery skull contemplating life', ' 3d render digital art', ' detailed glowing red implants', ' rendered in octane render 32k', ' wires cables skulls']"
112,"a renaissance portrait of dave chappelle, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ","['a painting of a man with a mustache on his face', ' dave chappelle', ' inspired by Kadir Nelson', ' african jesse pinkman portrait', ' by Kadir Nelson', ' inspired by Thomas Blackshear', ' portrait of ultra realistic', ' from kehinde wiley', ' hyperrealism self portrait', ' kehinde wiley', ' hyper realistic portrait', ' inspired by Barkley Hendricks', ' hyper realistic faces']"
113,oil painting of a xenomorph with two earrings wearing a babushka scarf trending on artstation grim gloomy dreary tired bleak cgsociety contest winner award winning intricate detailed 4 k 8 k uhd ,"['a painting of an alien with a red hat', ' portrait of xenomorph', ' alien portrait', ' inspired by H. R. Giger', ' inspired by H.R. Giger', ' portrait of an alien', ' in the style of h r giger', ' oil and alien on canvas', ' portrait of a mind flayer', ' art alien', ' alien xenomorph']"
114,"hyperdetailed anthropomorphic fox wearing pale green jumpsuit, highly detailed portrait, unreal engine, digital painting, sharp focus illustration, artstation hq. intricate, elegant, medium shot, art by artgerm and wlop and magali villeneuve ","['a woman in a green jacket with a red fox on her head', ' foxgirl', ' portrait of an anthro fox', ' anthropomorphic fox', ' digital green fox', ' an anthropomorphic cyberpunk fox', ' an anthropomorphic fox', ' female fox', ' a beautiful fox lady', ' fox people', ' digital fox', ' fox scientist', ' an anthro fox']"
115,"white fur mothman, big wings on back, mothman moth, six arms, by greg rutkowski ","['a painting of an owl flying in the sky', ' glowing white owl', ' mothman', ' alien owl', ' godrays digital painting', ' inspired by WLOP', ' big white glowing wings', ' spirit fantasy concept art', ' owl wizard', ' wispy gigantic wings', ' cosmic horror entity with wings', ' moody misty fantasy art', ' by maxim verehin', ' an ominous fantasy illustration']"
116,"a backpack in strawberry fruit shale, digital art, octane render, hasselblad photo, 4 k resolution, fashion design ","['a red and grey backpack with a black handle', ' product design render', ' product render', ' a backpack', ' marmoset toolbag render', ' 3 d product render', ' backpack', ' red realistic 3 d render', ' product design shot', ' marmoset toolbag rendered', ' semi - realistic render', ' c 4 d ”', ' high quality render', ' designed in blender', ' 3ds max render']"
117,nativity by the sea ; henry ossawa tanner ; cubism ; c. 1 9 1 7 ,"['a painting of a group of people on a beach', ' by Pierre Puvis de Chavannes', ' spiritual scene', ' inspired by Pierre Puvis de Chavannes', ' by Gaugin', ' odilon redon. drexler', ' inspired by Jules Breton', ' by Edwin Austin Abbey', ' odilon', ' by Aristide Maillol', ' felix vallotton', ' inspired by Walter Leighton Clark']"
118,"nowhere is a place, beautiful landscape, environment, colors, cinematic, highly detailed, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ","['a painting of a person standing on a cliff', ' beautiful alien landscape', ' stunning alien landscape', ' alien mountains', ' 4k highly detailed digital art', ' alien landscape', ' impressive fantasy landscape', ' amazing alien landscape', ' by Filip Hodas', ' alien breathtaking landscape', ' jessica rossier color scheme', ' epic dreamlike fantasy landscape', ' in the art style of filip hodas', ' an alien landscape']"
119,"portrait of a terrified and frightened beautiful young woman with big crimson blood splotches on her face. curled in a corner weeping terror, in a castle corridor. tears. wearing a magnificent intricate emerald necklace. long brown - chestnut hair. green medieval ball gown. 4 k low angle photograph, lens focused on necklace, clear image, detailed eyes ","['a woman with green makeup and green hair', ' green body. red eyes', ' sad green eyes', ' cruel green-eyed', ' green hair', ' young woman as medusa', ' portrait of evil girl', ' green face', ' green and red', ' long curly green hair', ' wearing green clothing', ' post grunge portrait', ' sexy girl with green eyes', ' green and red tones', ' long green hair']"
120,"cute little boy anime character inspired by jason voorhees art by rossdraws, wlop, ilya kuvshinov, artgem lau, sakimichan and makoto shinkai, anatomically correct, extremely coherent, highly detailed, sharp focus, slasher movies, smooth, red lighting, very realistic, symmetrical ","['a drawing of a person with a mask on', ' jason voorhees', ' inspired by Clark Voorhees', ' hockey mask', ' jason', ' inspired by Jason A. Engle', ' hq 4k wallpaper', ' kid', ' horror art', ' high quality fanart', ' horror style', ' horror fantasy art', ' inspired by Jason Edmiston', ' sid', ' slasher smile', ' fantasy horror art']"
121,"photo environement post futurist hospital : 4, 4 k rtx hdr volume light concept studio matte painting environement digital illustration style art that looks like it is from borderlands and by feng zhu and loish and laurie greasley, victo ngai, andreas rocha, john harris by jesper ejsing, by rhads, makoto shinkai and lois van baarle","['a street scene with a car parked on the side of the road', ' urban concept art', ' sci-fi cyberpunk city street', ' futuristic city street', ' futuristic dieselpunk street', ' cyberpunk street', ' cyberpunk city street', ' futuristic street', ' cyberpunk bus stop', ' by senior environment artist', ' cyberpunk shading', ' busy cyberpunk metropolis', ' detailed digital concept art', ' very coherent stylized artwork', ' 2d concept art']"
122,"storm at night, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ","['a picture of a lightning storm in the sky', ' thunderstorm and fire', ' hell storm', ' apocalyptic tumultuous sea', ' apocalypse landscape', ' hell scape', ' fire storm', ' ominous apocalyptic background', ' hell background', ' background artwork', ' dramatic lightning digital art', ' fire from sky', ' apocalypse landscape!!!!!', ' apocalyptic landscape', ' ! apocalypse landscape!!', ' dramatic concept art', ' amazing wallpaper', ' apocalyptic sky']"
123,helium by m. c. escher. centered. ,"['a black and white drawing of a circular object', ' an abstract drawing', ' complex drawing', ' anton semonov', ' ( geometric )', ' ( ( abstract ) )', ' graphite on paper', ' escher', ' inspired by M.C. Escher', ' inspired by M. C. Escher', ' pencil on paper', ' inspired by Nathaniel Pousette-Dart', "" 'untitled 9 '"", ' geometric abstraction']"
124,"man, fireemblem, plaidshirt, bowlcut, roundglasses, art by artgerm and greg rutkowski and magali villeneuve, portrait, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration ","['a man with glasses and a leather jacket', ' character art portrait', ' detailed character portrait', ' rpg_portrait', ' high quality portrait', ' character portrait art', ' painted character portrait', ' artwork in the style of guweiz', ' epic rpg portrait', ' rpg portrait', ' rossdraws portrait', ' portrait of female paladin', ' character - portrait', ' crisp clear rpg portrait', ' male paladin']"
125,"woman with brown hair smiling, by sophie anderson ","['a painting of a woman with long red hair', ' albert lynch', ' artgerm and william bouguereau', ' smiling girl', ' inspired by Théodore Chassériau', ' young girl', ' portrait young girl', ' portrait of a beautiful girl', ' a redheaded young woman', ' a cute young woman', ' beautiful smiling face', ' a beautiful young woman', ' very beautiful portrait']"
126,"portrait of jinx from league of legends by jodhpurs greg manchess, painting by sargent and leyendecker, ghibli studio, asymmetrical intricate elegant illustration hearthstone, by greg rutkowski, by greg tocchini, by craig mullins ","['a sexy woman with a sword in her hand', ' wlop rossdraws', ' krenz cushart and artgerm', ' wlop and rossdraws', ' wlop and krenz cushart', ' rossdraws 1. 0', ' wlop art', ' art of wlop', ' extremely detailed artgerm', ' rossdraws 2. 5', ' inspired by WLOP']"
127,cyber bull enemy wearing power armor walks through a portal to the digital world. megalomaniacal expression. cyberpunk scene by ralph mcquarrie and beksinski r / characterart ,"['a man in a sci - fiction suit walking through a city', ' dark sci-fi art', ' greg beeple', ' by Petros Afshar', ' dan mcpharlin', ' bionic scifi alexandre ferra', ' sci-fi digital art', ' inspired by Petros Afshar', ' scifi art', ' award winning scifi art', ' edgy adventure sci fi', ' by Christopher Balaskas']"
128,"braveheart gameplay still frame, pixel art, side scroller, level design, retro, no characters, megadrive, high contrast, background, deep focus, turnaround, highly detailed, dramatic lighting, digital painting, artstation, concept art, matte, greg rutkowski, moebius, illustration. ","['two men in armor holding swords in front of a crowd of people', ' andreas rocha and john howe', ' medieval fantasy game art', ' battle for whiterun city', ' battle for whiterun', ' defending the vast looming city', ' james gurney and andreas rocha', ' invading army background', ' epic battlescene', ' cinematic matte illustration', ' an epic viking battle scene', ' medieval fantasy battle']"
129,beautiful parakeet with long colorful flowing feathers blowing in the wind detailed painting 4 k ,"['a colorful bird sitting on a branch with a colorful background', ' colorful hd picure', ' surrealistic bird', ' colorful plumage', ' painted in bright water colors', ' beautiful colorful', ' colourful', ' beautiful and colorful', ' colorful birds', ' colorfull painting', ' a surrealistic bird', ' very colourful', ' full of colors', ' wonderfully colorful', ' alex yanes and lisa frank', ' vibrant digital painting', ' very colorful']"
130,"vfx color film closeup portrait, huge behemoth alien face monster creature beast by aaron sims, in residential street, low - key lighting award winning photography arri alexa cinematography, hyper real photorealistic cinematic beautiful, atmospheric ","['a giant monster with its mouth open in the sky', ' jormungandr', ' elden ring monster', ' hyper realistic fantasy monster', ' amazing space creature 4 k', ' giant ethereal creature', ' 8k vfx render', ' by Adam Marczyński', ' jörmungandr', ' greg rutkowski octane render', ' giant kaiju dragon monster', ' an ancient creature', ' vfx render']"
131,"cozy library inside small tent!! in fantastical overgrown landscape, digital art, artstation, highly detailed, hyperdetailed ","['a room filled with lots of books covered in green plants', ' books cave', ' an overgrown library', ' fantasy book illustration', ' magic library', ' storybook style', ' storybook fantasy', ' fancy library', ' borne space library artwork', ' library background', ' storybook wide shot :: hd', ' small library', ' storybook art', ' dusty library', ' fantasy rpg book illustration', ' magical environment', ' alchemist library background']"
132,"portrait of two young beautiful attractive russian belarusian finnish norwegian glamour ballerina dancing on the stage. full body. shoulder neckline bodice, detailed fantasy art, mysterious, bioluminescent, cosmic horror amazing award winning digital art, trending on artstation. volumetric lighting, close up, 3 5 mm ","['two women in dresses are touching noses in front of a mirror', ' beauty woman in holograms', ' beautiful gemini twins portrait', ' portrait of a ballerina', ' beautiful sci - fi twins', ' light effect. feminine', ' symmetric beauty', ' symmetric', ' light effect. modern fantasy', ' dramatic lighting fantasy', ' symmetric!', ' posing in dramatic lighting', ' surreal beautiful young woman', ' anaglyph effect']"
133,"bald joe biden is voldemort, film still from harry potter movies ","['a split picture of a man with a nose ring and a man with a nose ring', ' anime joe biden', ' joe biden as an anime villain', ' joe biden in valorant', ' joe biden as a jojo character', ' cyborg joe biden', ' cyberpunk joe biden', ' joe biden as the joker', ' handsome joe biden', ' joe biden portrait', ' joe biden with glowing eyes', ' joe biden']"
134,an evil cosmic woman with an evil grin with her hands around a crystal ball of multiple universes chromatic neon bioluminescent interdimensional elegant evil horror trending on artstation ernst haeckel cgsociety contest winner symmetrical golden ratio centered intricate detailed refined ,"['a drawing of a man with a head full of skulls', ' alex grey and beksinski', ' dmt ego death', ' dmt ego of death', ' alex grey and tim hildebrandt', ' alex gray', ' alex grey and romero ressendi', ' alex grey style', ' alex grey art', ' style of alex grey', ' electromagnetic field dmt lsd', ' alex grey and gustave dore']"
135,"ancient golden ( chrome finish ) [ skateboard ], egyptian, museum exhibition, showcase, detailed, overhead lighting, dimly lit room, 4 0 mm camera phone photo ","['a skateboard is hanging on a wall', ' detailed skateboard', ' perfect crisp sunlight', ' skateboard', ' back lit', ' crisp smooth lines', ' deck', ' backlit', ' perfect detail', ' spades slick', ' 4 0 9 6', ' back - lit', ' overhead shot', ' shot with iphone 1 0', ' high angle close up shot', ' a close up shot', ' backlite', ' brass beak', ' nice afternoon lighting']"
136,"illustration of helicopter over a rural village, 1 8 3 5. ","['a drawing of a town with a plane flying over it', ' large landscape with village', ' lithograph', ' distant town in valley and hills', ' a mid-nineteenth century engraving', ' black and white engraving', ' detailed and intricate image', ' 1852', ' 1820', ' 1857', ' 1800', ' 1849', ' 1840']"
137,"cute miss mascot aspicot aspicot weedle super hero sticker art, cronobreaker, beeple game icon ","['a sticker of a cartoon character in a space suit', ' inspired in super bomberman', ' cute astronaut sticker art', ' chibi', ' game character design', ' anthropomorphic warrior piglet', ' sticker concept design', ' pink iconic character', ' fantasy sticker illustration', ' cute character', ' octorok', ' venus squid astronaut', ' hero 2 d fanart artsation', ' sticker illustration', ' high quality character design']"
138,"3 d close - up swirly cat!!!!!!! moebius strip physics giant gladiola ceramic glass!! betta fish! jellyfish phoenix fire energy flow, highly detailed. by wlop, tooth wu, greg rutkowski, alena aenami, beeple ","['a digital painting of a swirl of red and blue', ' intricate flowing paint', ' vibrant digital painting', ' flowing material', ' intricate digital painting', ' colorful digital painting', ' beautiful digital artwork', ' beeple and james jean', ' digital painting | intricate', ' flowing forms', ' inspired by Yanjun Cheng', ' glossy digital painting', ' silk flowing in wind', ' stunning digital painting', ' gorgeous digital art', ' flowing fabric']"
139,organ pipe sword ,"['a bunch of metal rods sitting on top of a table', ' wands', ' brandishing naginata haldberds', ' holding wands', ' old copper pipes', ' wooden staff', ' longbows', ' shafts of lighting', ' magic wooden staff', ' discarded scrolls', ' beautiful image', ' spears', ' many pipes', ' by Aleksander Kotsis', ' scrolls', ' many swords']"
140,"realistic portrait of emperor haile selassie of ethiopia in a byzantine mosaic, robbes with crosses, perfect face, perfect eyes, very detailed, very realistic, elegant, top art, renowed artwork ","['a painting of a man with a beard and mustache', ' inspired by Barkley Hendricks', ' by Barkley Hendricks', ' inspired by Mati Klarwein', ' by Mustafa Rakim', ' rastafarian', ' inspired by Mustafa Rakim', ' by Mati Klarwein', ' inspired by Afewerk Tekle', ' inspired by Ras Akyem', ' raggae art', ' by David Burton-Richardson', ' portrait masterpiece']"
141,a dog driving a tank realistic cinematic 3 5 mm ,"['a tank is driving down the road on a sunny day', ' german and soviet tanks firing', ' ussr armor', ' ( ( ( soviet tank ) ) )', ' tank', ' retro 1 9 7 0 s kodachrome', ' tank class', ' color film photography 1970s', ' scene from a 1 9 7 3 film', ' 1960s color photograph', ' tanks']"
142,"mistic silhouette of a woman a full - length made of gray smoke in a dark old room, painted with black pencil, black white ","['a woman in a white dress is holding a knife', ' ghostly figure', ' mysterious figure', ' zoomed out full body', ' diffuse outline', ' zoomed out to show entire image', ' face obscured', ' distant full body view', ' full body image', ' full body picture', ' entire person visible', ' dark cloaked figure', ' blurry image', ' elongated figure', ' human silhouette']"
143,"cute miss mascot florges florges florges pokemon sticker art, cronobreaker, beeple game icon ","['a sticker of a cartoon pokemon character', ' mika pikazo', ' holo sticker', ' y 2 k cutecore clowncore', ' glamorous angewoman digimon', ' maplestory mouse', ' kawaii cutest sticker ever', ' chibi', ' mew', ' kinmoza!', ' style of cute pokemon', ' puffy sticker', ' derpibooru', ' hyper cute', ' inspired by Pinchus Kremegne', ' octorok']"
144,"old polaroid picture of the devil in the white house, influencing the president ","['a man in a suit and tie walking in a living room', ' standing in the oval office', ' photographic still', ' far portrait of john f kennedy', ' in the white house', ' in the oval office', ' in oval office', ' portrait of john f kennedy', ' white house archives', ' overexposed photograph', ' secret service photos', ' full body in frame', ' at the white house']"
145,"blue dragonborn artificer, by ismail inceoglu, character portrait, detailed, dungeons and dragons ","['a man in a blue outfit holding a glowing sword', ' blizzard hearthstone concept art', ' hearthstone concept art', ' fantasy hearthstone art style', ' kaladesh concept art. mechanical', ' undead lich', ' hearthstone card art', ' undead mage', ' ice mage', ' hearthstone art', ' portrait of the old necromancer', ' 8k hd wallpaperjpeg artifact', ' 8 k hd wallpaperjpeg artifact']"
146,"beautiful woman with short blond hair, portrait, maya ali mage, gloomhaven, dynamic lighting, gaudy colors, octane render aesthetic, matte painting concept art, official fanart behance hd artstation by jesper ejsing, by rhads and makoto shinkai and lois van baarle and ilya kuvshinov and rossdraws ","['a woman with blonde hair and blue eyes', ' stylized portrait', ' epic portrait illustration', ' character art portrait', ' cinematic bust portrait', ' background artwork', ' stylized portrait h 640', ' ( ( mads berg ) )', ' character portrait art', ' epic rpg portrait', ' unreal 5. rpg portrait', ' painted character portrait', ' 2d portrait', ' stunning art style', ' cgsociety portrait']"
147,"shinji ikari from neon genesis evangelion, vray, cinecolor, crisp natural lighting, sunlight, scattering, crepuscular rays, hdr, spectral, intricate detail, hypermaximalist, elegant, ornate, hyper realistic, super detailed, focal ","['a young boy in a white shirt and tie', ' lain iwakura', ' smooth anime cg art', ' close up of lain iwakura', ' from evangelion', ' serial experiments lain', ' makoto shinkai. digital render', ' anime film still', ' lain', ' still from anime', ' lain serial experiments', ' ( evangelion )', ' movie still of robot evangelion', ' anime. soft lighting']"
148,"cute great old ones sitting in a bar, fantasy, concept art, artstation, disney, pixar, dreamworks, anime, tyler edlin, feng zhu, thomas karpi ","['a group of people sitting at a bar', ' zootopia concept art', ' fantasy tavern background', ' a multidimensional cozy tavern', ' greg rutkowski and krenzcushart', ' relaxing concept art', ' inside a bar', ' by Aleksander Gine', ' dimly-lit cozy tavern', ' speakeasy bar background', ' bar background', ' hearthstone concept art', ' tavern background', ' cozy atmosphere']"
149,"a stunning portrait of an asian valkyrie with long black hair laying in grass by artgerm, dynamic lighting, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k ","['a painting of a woman in a field with a sword', ' karol bak and peter mohrbacher', ' karol bak uhd', ' yoshitakka amano karol bak', ' hyperrealistic fantasy art', ' by tom bagshaw and boris vallejo', ' tyler edlin fantasy art', ' style of karol bak', ' in style of peter mohrbacher']"
150,"stone cairn, stone cairn inside a glass jar buried in sand, intricate detail, hyper detailed, ultra realistic, sharp focus, octane render, lantern, volumetric, ray tracing, sense of awe, swirling mist 4 k, himalayan rocksalt lamp - n 4 ","['a stack of rocks sitting on top of a hill', ' balance rendered', ' floating stones', ' powerful zen composition', ' strange levitating stones', ' stones falling from the sky', ' zen natural background', ' balanced lighting', ' floating rocks', ' depicted as a 3 d render', ' floating magical rocks', ' on a dark rock background', ' well lit 3 d render', ' serene lighting', ' soft zen minimalist', ' stones']"
151,"octopus wearing human clothes and pretending to be a dad, 3 d render ","['a purple octopus is standing on a white surface', ' octante render', ' anthropomorphic octopus', ' octsne render', ' octanerender', ' tentacled creature mix', ' octopus', ' 8 k octanerender', ' octanerender 3 d', ' octane render aesethic', ' tentacles around', ' 4 k octan render', ' cthulhu squid', ' 3 d rendered in octane']"
152,"good day to hunt dragons, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, thomas kinkade, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp ","['a painting of a dragon flying over a river', ' 4 k detail fantasy', ' 4k fantasy art', ' 4k highly detailed digital art', ' 8k fantasy art', ' impressive fantasy landscape', ' fantasy art landscape', ' beautiful art uhd 4 k', ' epic dreamlike fantasy landscape', ' 8k high quality detailed art', ' 8k stunning artwork', ' 4k hd matte digital painting']"
153,"cloth, black brown fabric, jodhpurs high black or brown lether boots and belts, fashion retro, elegant long hair brunette young girl, dark fantasy traveler, geometrical low poly, dainty renaissance portrait by michael garmash, greg rutkowski, gaston bussiere, rhads, craig mullins ","['a woman in a black dress holding a sword', ' alena aenami and artgerm', ' artwork in the style of guweiz', ' 4k fantasy art', ' beautiful character painting', ' realistic fantasy artwork', ' style of raymond swanland', ' digital fantasy art )', ' realistic fantasy painting', ' wojtek fus', ' artgerm craig mullins', ' anato finnstark and alena aenami']"
154,"portrait of nymp dancer ceramic iridiscent biomechanical divine mecha absurdly beautiful, elegant, graceful, ultrafine hyperrealistic detailed face kim jung gi, irakli nadar, intricate linework, sharp focus, bright colors, matte, octopath traveler, final fantasy, unreal engine highly rendered, global illumination, radiant light, intricate environment ","['a close up of a woman wearing a robot suit', ' cyborg fashion model', ' an image of a beautiful cyborg', ' portrait of a cyborg queen', ' portrait of a futuristic robot', ' beautiful cyborg woman', ' cyborg woman', ' cybernetic bionic ancient cyborg', ' portrait of a female android', ' cybernetic machine female face', ' beautiful female android', ' detailed portrait of a cyborg']"
155,"underwater caslte, beautiful, environment, highly detailed, colors, craig mullins! art style, cinematic, cgsociety, by brian froud, rutkowski, lively, intricate ","['a painting of a castle in the middle of the night', ' andreas rocha and john howe', ' dark fantasy environment', ' wide angle fantasy art', ' photorealistic dark concept art', ' by Arthur Pan', ' intricate detailed environment', ' detailed digital concept art', ' detailed intricate environment', ' dark fantasy concept art', ' intricate environment', ' fantasyconcept art', ' award winning concept artist', ' andreas rocha style']"
156,"scottish cairn inside a steampunk glass jar buried in sand, intricate detail, hyper detailed, ultra realistic, sharp focus, octane render, lantern, volumetric, ray tracing, sense of awe, swirling mist, blue moon, 4 k ","['a glass jar with a picture of a castle in it', ' surreal 3 d render', ' dreamscape in a jar', ' hyperdetailed scp artifact jar', ' sand desert fantasy', ' depicted as a 3 d render', ' somewhere in sands of the desert', ' surreal scene', ' ship in a bottle', ' rendered in keyshot', ' rendered image', ' stylized 3d render']"
157,weirdest cute glowing critters in a forest cabin surreal art digital painting digital illustration style of hieronymus bosch style of salvador dali style of magic the gathering ,"['a painting of a group of animals in a forest', ' lowbrow surrealism', ' alexander jansson style', ' pop surrealism lowbrow art style', ' lowbrow art', ' surreal tea party', ' inspired by Victor Brauner', ' psychedelic surreal art', ' michael hutter', ' inspired by Alexander Jansson', ' lowbrow pop surrealism', ' surreal painting', ' fantasy artrealistic painting', ' painting by android jones']"
158,"a photograph of a futuristic street scene, brutalist style architecture, straight edges, shop signs, finely detailed oil painting, impasto brush strokes, soft light, 8 k, dramatic composition, dramatic lighting, sharp focus, octane render, masterpiece, by adrian ghenie and jenny saville and zhang jingna ","['a painting of a gas station in a city', ' syd mead and raphael lacoste', ' inspired by maxim verehin', ' highly realistic concept art', ' stefan koidl inspired', ' by Zhou Chen', ' urban concept art', ' bastien grivet', ' by Ludwik Konarzewski Jr', ' by Richard Carline', ' futuristic city street', ' by Shen Zhou', ' stefan koidl']"
159,zombie donald trump eating kid rock on the golf course. raining. professional film footage ,"['a man in a red shirt and a man in a black suit and red tie playing golf', ' he is floundering', ' donald trump crying', ' he can ’ t believe his eyes', ' off putting', ' photograph credit: ap', ' donald trump clown', ' award-winning shot', ' award - winning shot', ' best shot', ' soaked', ' trump training pikachu', ' winning photo', ' covered!']"
160,"close - up portrait of a ruggedly handsome heroine muscled girl riding on a large pig beast mount, intricate, elegant, highly detailed, artstation, artgerm, ralph horsley, rossdraw, mark ryden, sophie anderson, lilia alvarado, tom chambers, donato giancola, daniel f. gerhartz, joseph christian leyendecker, wlop ","['a woman riding on the back of an elephant', ' tyler edlin fantasy art', ' weta workshop concept art', ' minotaur in ancient armor', ' male centaur centaur chimera', ' inspired by Ryan Barger', ' by Arthur Pan', ' by David Boyd', ' fat dragon with rider', ' minotaur from path of exile', ' centaur', ' by Adam Marczyński']"
161,dark fantasy book illustration ghibli ,"['a boy is sitting on a log looking at a monster', ' an ominous fantasy illustration', ' scary detailed art in color', ' tales of earthsea', ' full color illustration', ' inspired by Ren Xun', ' inspired by Yuko Shimizu', ' by Yuko Shimizu', ' by Yoshihiko Wada', ' katsuhiro otomo and junji ito', ' by Naka Bokunen']"
162,"rendering of futuristic intricate lamboghini robot with sleek impulsing circuits, glittering light leaks, organic electromagnetic waves, blue glowing led eyes, wearing a very intricate mask by feng zhu and goggles, octane render, trending on artstation, dystopia tokyo by johannes w. dalheimer ","[""a close up of a robot's face with glowing eyes"", ' portrait of a futuristic robot', ' futuristic robot', ' cyberpunk robot', ' portrait of an android', ' portrait of a female android', ' cybernetic glowing', ' sci-fi android female', ' sci - fi character', ' cybernetic and highly detailed', ' retrofuturistic female android', ' beautiful robot character design', ' cyber steampunk 8 k 3 d']"
163,"fashion photography of marilyn monroe, wearing demobaza fashion, inside berghain, berlin fashion,, futuristic fashion, dark minimal outfit, photo 3 5 mm leica, hyperdetail, berghain, 8 k, very detailed, photo by nick knight ","['a black and white photo of a woman with blonde hair', ' marilyn monroe', ' marilyn monroe portrait', ' face like marilyn monroe', ' portrait of marilyn monroe', ' ellen von unwerth', ' inspired by Marilyn Bendell', ' platon', ' stunning art', ' inspired by George Hurrell', ' mario testino', ' masterpiece work of art', ' madonna', ' inspired by Jerry Schatzberg']"
164,"music warning label, 2 0 7 7 cyberpunk ","['a sign that says music in yottag', ' meshg dimonyy', ' mny', ' and metroplex zing', ' mistic', ' musty', ' music', ' music album cover', ' vibing to music', ' mustard', ' music poster', ' musical', ' misting', ' modest tone', ' moist', ' music album art', ' alsphonse mucha', ' mute', ' (mist)', ' album artwork']"
165,"oil painting full body portrait of mean machine from 2 0 0 0 ad, greg staples ","['a painting of a giant robot standing in front of a group of people', ' warhammer 4 0 k artwork', ' warhammer 40k style', ' wh 4 0 k art', ' wh40k', ' w 4 0 k', ' warhammer 4 0 k!!', ' warhammer 40k!!', ' giant mech', ' warhammer 4 0 k fantasy', ' anfas portrait of a mech warrior']"
166,"underground, basement, fisheye spiral, naive, extra narrow, detailed illustration of a kitchen, large floor, dimly lit by rhads from lorax movie, trending artstation, dark blue, vines crawling, tavern ","['a painting of a kitchen with a sink and a counter', ' stylized concept art', ' stylized game art', ' interior background art', ' background art', ' 3 d stylize scene', ' inspired by Carl Spitzweg', ' inspired by Cyril Rolando', ' fantasy alchemist laboratory', ' fantasy tavern background', ' by Hristofor Zhefarovich', ' 3 d render stylized']"
167,"happy birthday, summer field, flowers, danish cookery, worn - out road, nordic pastel colors, perfect lightning ","['a field of flowers with a lone tree in the distance', ' field of wild flowers', ' field of pink flowers', ' flower meadow', ' meadow with flowers', ' fields of flowers', ' field of fantasy flowers', ' vast lush valley flowers', ' flower field', ' field of flowers', ' field of mixed flowers', ' meadow flowers', ' field with grass and flowers', ' colorful wildflowers', ' field of flowers background', ' summer meadow']"
168,"ascension of the scarlet woman by caravaggio adolf wolfli beksinski jan van eyck francis bacon, fantasy, god, religious ritual, epiphany ascension, red robe, conical red hood ","['a painting of a group of people dressed in red', ' red robes', ' fully clothed in red robes', ' wearing red robes', ' by Terry Oakes', ' by George Tooker', ' by Storm Thorgerson', ' by Juliusz Kossak', ' vereshchagin', ' by Mati Klarwein', ' michael whelan and gustave dore', ' joe webb', ' mati klarwein and moebius']"
169,patent illustration of a robotic spider. technical document ,"['a black and white drawing of a robot', ' mechanical spider legs', ' mechanical robotic octopus', ' industrial design blueprint', ' flying spaghetti monster', ' robot anatomy elements', ' scientific schematics', ' the flying spaghetti monster', ' robotic octopus', ' blueprint schematics', ' vintage robotics', ' patent illustration', ' mechanical details', ' steampunk blueprint', ' engineering blueprints', ' blueprint of a laser space gun', ' vitruvian mecha']"
170,a portrait painting of brigid tuitt ,"['a painting of a woman with a green shirt', ' medium close up portrait', ' closeup painted portrait', ' rendering of close up portrait', ' close up portrait', ' painted portrait', ' painterly portrait', ' side centered painted portrait', ' portrait close up', ' full close-up portrait', ' detailled portrait', ' detailed color portrait', ' close up portrait bust of woman', ' color portrait', ' large pastel']"
